run_id,real_time,sim_time,obj_type,obj_id,x_km,y_km,z_km,speed_ms,status
20260312_170131,0.013,0.02,MISSILE,1,-2.9143,46.8413,7.0349,753.7,detected
20260312_170131,0.526,0.788,MISSILE,1,-2.8678,46.2867,7.1926,751.6,detected
20260312_170131,1.032,1.549,MISSILE,1,-2.8218,45.7381,7.343,749.7,detected
20260312_170131,1.545,2.317,MISSILE,1,-2.7753,45.1835,7.4893,747.8,detected
20260312_170131,2.049,3.073,MISSILE,1,-2.7296,44.6383,7.6274,746.0,detected
20260312_170131,2.562,3.843,MISSILE,1,-2.683,44.0826,7.7624,744.2,detected
20260312_170131,3.079,4.618,MISSILE,1,-2.6361,43.5232,7.8925,742.5,detected
20260312_170131,3.598,5.398,MISSILE,1,-2.5889,42.9607,8.0173,740.8,detected
20260312_170131,4.12,6.18,MISSILE,1,-2.5416,42.3959,8.1367,739.2,tracked
20260312_170131,4.12,6.18,INTERCEPTOR,1,-0.0606,1.0103,0.2127,4000.0,target=1
20260312_170131,4.626,6.939,MISSILE,1,-2.4957,41.8481,8.2467,737.8,tracked
20260312_170131,4.626,6.939,INTERCEPTOR,1,-0.2385,3.9859,0.7908,4000.0,target=1
20260312_170131,5.141,7.712,MISSILE,1,-2.4489,41.2909,8.3528,736.4,tracked
20260312_170131,5.141,7.712,INTERCEPTOR,1,-0.4182,7.0098,1.3957,4000.0,target=1
20260312_170131,5.665,8.498,MISSILE,1,-2.4014,40.7237,8.4548,735.0,tracked
20260312_170131,5.665,8.498,INTERCEPTOR,1,-0.5996,10.0837,2.0302,4000.0,target=1
20260312_170131,6.18,9.27,MISSILE,1,-2.3547,40.1663,8.5492,733.7,tracked
20260312_170131,6.18,9.27,INTERCEPTOR,1,-0.7762,13.1006,2.6743,4000.0,target=1
20260312_170131,6.701,10.051,MISSILE,1,-2.3074,39.6025,8.6387,732.5,tracked
20260312_170131,6.701,10.051,INTERCEPTOR,1,-0.953,16.147,3.3489,4000.0,target=1
20260312_170131,7.204,10.806,MISSILE,1,-2.2617,39.058,8.7195,731.5,tracked
20260312_170131,7.204,10.806,INTERCEPTOR,1,-1.1216,19.0834,4.0254,4000.0,target=1
20260312_170131,7.204,10.806,INTERCEPTOR,2,-0.0838,1.4456,0.3404,4000.0,target=1
20260312_170131,7.708,11.562,MISSILE,1,-2.216,38.5123,8.7948,730.5,tracked
20260312_170131,7.708,11.562,INTERCEPTOR,1,-1.288,22.0199,4.7325,4000.0,target=1
20260312_170131,7.708,11.562,INTERCEPTOR,2,-0.2538,4.3918,1.0052,4000.0,target=1
20260312_170131,8.225,12.337,MISSILE,1,-2.1691,37.9531,8.8662,729.5,tracked
20260312_170131,8.225,12.337,INTERCEPTOR,1,-1.4552,25.0203,5.4935,4000.0,target=1
20260312_170131,8.225,12.337,INTERCEPTOR,2,-0.4265,7.4072,1.7033,4000.0,target=1
20260312_170131,8.743,13.115,MISSILE,1,-2.122,37.3917,8.9319,728.6,tracked
20260312_170131,8.743,13.115,INTERCEPTOR,1,-1.6186,28.02,6.305,4000.0,target=1
20260312_170131,8.743,13.115,INTERCEPTOR,2,-0.5981,10.4298,2.4229,4000.0,target=1
20260312_170131,9.246,13.869,MISSILE,1,-2.0765,36.8481,8.99,727.8,tracked
20260312_170131,9.246,13.869,INTERCEPTOR,1,-1.7705,30.907,7.1546,4000.0,target=1
20260312_170131,9.246,13.869,INTERCEPTOR,2,-0.7624,13.3519,3.1399,4000.0,target=1
20260312_170131,9.755,14.633,MISSILE,1,-2.0302,36.2964,9.0431,727.1,tracked
20260312_170131,9.755,14.633,INTERCEPTOR,1,-1.9136,33.8032,8.126,4000.0,target=1
20260312_170131,9.755,14.633,INTERCEPTOR,2,-0.9269,16.3123,3.8905,4000.0,target=1
20260312_170131,20.493,30.74,MISSILE,2,40.4048,15.7051,7.2779,1796.4,undetected
20260312_170131,20.996,31.494,MISSILE,2,39.0963,15.3799,7.1383,1797.2,tracked
20260312_170131,20.996,31.494,INTERCEPTOR,3,1.2337,0.4841,0.244,4000.0,target=2
20260312_170131,21.51,32.264,MISSILE,2,37.7601,15.0479,6.9901,1798.0,tracked
20260312_170131,21.51,32.264,INTERCEPTOR,3,4.0577,1.6031,0.7622,4000.0,target=2
20260312_170131,22.016,33.024,MISSILE,2,36.4418,14.7203,6.8381,1798.8,tracked
20260312_170131,22.016,33.024,INTERCEPTOR,3,6.837,2.7209,1.28,4000.0,target=2
20260312_170131,22.536,33.805,MISSILE,2,35.0886,14.384,6.6762,1799.7,tracked
20260312_170131,22.536,33.805,INTERCEPTOR,3,9.6817,3.8853,1.819,4000.0,target=2
20260312_170131,23.043,34.565,MISSILE,2,33.7697,14.0563,6.5126,1800.6,tracked
20260312_170131,23.043,34.565,INTERCEPTOR,3,12.4443,5.0402,2.3527,4000.0,target=2
20260312_170131,23.544,35.317,MISSILE,2,32.466,13.7323,6.3454,1801.5,tracked
20260312_170131,23.544,35.317,INTERCEPTOR,3,15.163,6.2064,2.8895,4000.0,target=2
20260312_170131,24.056,36.084,MISSILE,2,31.1354,13.4016,6.169,1802.4,tracked
20260312_170131,24.056,36.084,INTERCEPTOR,3,17.9214,7.4293,3.4489,4000.0,target=2
20260312_170131,24.056,36.084,INTERCEPTOR,4,1.5351,0.6579,0.3222,4000.0,target=2
20260312_170131,24.578,36.868,MISSILE,2,29.7757,13.0637,5.9828,1803.5,tracked
20260312_170131,24.578,36.868,INTERCEPTOR,3,20.7145,8.7276,4.0361,4000.0,target=2
20260312_170131,24.578,36.868,INTERCEPTOR,4,4.3635,1.8888,0.8853,4000.0,target=2
20260312_170131,25.091,37.637,MISSILE,2,28.4418,12.7322,5.7943,1804.5,tracked
20260312_170131,25.091,37.637,INTERCEPTOR,3,23.4119,10.0792,4.6352,4000.0,target=2
20260312_170131,25.091,37.637,INTERCEPTOR,4,7.1267,3.1196,1.4445,4000.0,target=2
20260312_170131,25.616,38.424,MISSILE,2,27.077,12.3931,5.5954,1805.6,tracked
20260312_170131,25.616,38.424,INTERCEPTOR,3,26.0522,11.6535,5.2991,4000.0,target=2
20260312_170131,25.616,38.424,INTERCEPTOR,4,9.9387,4.4088,2.0245,4000.0,target=2
