run_id,real_time,sim_time,event,obj_type,obj_id,x_km,y_km,z_km,speed_ms,ref_type,ref_id,notes
20260312_170131,0.0,0.0,MISSILE_SPAWN,MISSILE,1,-2.9155,46.8556,7.0307,753.8,,,init_spd=724m/s
20260312_170131,0.013,0.02,RADAR_DETECT,MISSILE,1,-2.9143,46.8413,7.0349,753.7,,,det_count=1
20260312_170131,3.908,5.862,RADAR_DETECT,MISSILE,1,-2.5609,42.6257,8.0888,739.9,,,det_count=2
20260312_170131,3.928,5.892,RADAR_DETECT,MISSILE,1,-2.559,42.6039,8.0934,739.8,,,det_count=3
20260312_170131,3.949,5.923,RADAR_DETECT,MISSILE,1,-2.5572,42.5818,8.098,739.7,,,det_count=4
20260312_170131,3.949,5.923,TRACKED,MISSILE,1,-2.5572,42.5818,8.098,739.7,,,
20260312_170131,3.949,5.923,INTERCEPT_LOCKED,MISSILE,1,-2.5572,42.5818,8.098,739.7,,,"ip=(-1.98,35.73,9.09)"
20260312_170131,3.949,5.923,INTERCEPTOR_LAUNCH,INTERCEPTOR,1,0.0,0.0,0.02,4000.0,MISSILE,1,"ip=(-1.98,35.73,9.09)"
20260312_170131,3.973,5.96,RADAR_DETECT,MISSILE,1,-2.5549,42.5551,8.1036,739.7,,,det_count=5
20260312_170131,3.998,5.997,RADAR_DETECT,MISSILE,1,-2.5527,42.5283,8.1092,739.6,,,det_count=6
20260312_170131,4.022,6.033,RADAR_DETECT,MISSILE,1,-2.5505,42.5019,8.1147,739.5,,,det_count=7
20260312_170131,6.957,10.435,INTERCEPTOR_LAUNCH,INTERCEPTOR,2,0.0,0.0,0.02,4000.0,MISSILE,1,"ip=(-1.98,35.73,9.09)"
20260312_170131,7.912,11.868,RADAR_DETECT,MISSILE,1,-2.1975,38.2917,8.8237,730.1,,,det_count=8
20260312_170131,7.941,11.911,RADAR_DETECT,MISSILE,1,-2.1949,38.2605,8.8277,730.0,,,det_count=9
20260312_170131,7.969,11.954,RADAR_DETECT,MISSILE,1,-2.1923,38.2298,8.8316,730.0,,,det_count=10
20260312_170131,7.998,11.996,RADAR_DETECT,MISSILE,1,-2.1897,38.1991,8.8355,729.9,,,det_count=11
20260312_170131,8.026,12.039,RADAR_DETECT,MISSILE,1,-2.1872,38.1683,8.8394,729.9,,,det_count=12
20260312_170131,9.994,14.991,KILL,INTERCEPTOR,1,-1.9717,35.1282,8.6614,4000.0,MISSILE,1,
20260312_170131,9.994,14.991,INTERCEPTOR_MISS,INTERCEPTOR,2,-1.0029,17.6947,4.2504,4000.0,MISSILE,1,
20260312_170131,20.017,30.025,MISSILE_SPAWN,MISSILE,2,41.6922,16.025,7.4098,1795.7,,,init_spd=1787m/s
20260312_170131,20.712,31.067,RADAR_DETECT,MISSILE,2,39.8364,15.5639,7.218,1796.7,,,det_count=1
20260312_170131,20.732,31.098,RADAR_DETECT,MISSILE,2,39.7839,15.5508,7.2124,1796.8,,,det_count=2
20260312_170131,20.752,31.127,RADAR_DETECT,MISSILE,2,39.7321,15.5379,7.2069,1796.8,,,det_count=3
20260312_170131,20.772,31.158,RADAR_DETECT,MISSILE,2,39.6791,15.5248,7.2012,1796.8,,,det_count=4
20260312_170131,20.772,31.158,TRACKED,MISSILE,2,39.6791,15.5248,7.2012,1796.8,,,
20260312_170131,20.772,31.158,INTERCEPT_LOCKED,MISSILE,2,39.6791,15.5248,7.2012,1796.8,,,"ip=(26.67,12.29,5.54)"
20260312_170131,20.772,31.158,INTERCEPTOR_LAUNCH,INTERCEPTOR,3,0.0,0.0,0.02,4000.0,MISSILE,2,"ip=(26.67,12.29,5.54)"
20260312_170131,20.794,31.192,RADAR_DETECT,MISSILE,2,39.6209,15.5103,7.195,1796.9,,,det_count=5
20260312_170131,20.817,31.226,RADAR_DETECT,MISSILE,2,39.5616,15.4956,7.1886,1796.9,,,det_count=6
20260312_170131,23.773,35.659,INTERCEPTOR_LAUNCH,INTERCEPTOR,4,0.0,0.0,0.02,4000.0,MISSILE,2,"ip=(26.67,12.29,5.54)"
20260312_170131,24.684,37.026,RADAR_DETECT,MISSILE,2,29.5002,12.9953,5.9444,1803.7,,,det_count=7
20260312_170131,24.711,37.067,RADAR_DETECT,MISSILE,2,29.4302,12.9779,5.9346,1803.7,,,det_count=8
20260312_170131,24.738,37.107,RADAR_DETECT,MISSILE,2,29.3614,12.9608,5.9249,1803.8,,,det_count=9
20260312_170131,24.765,37.147,RADAR_DETECT,MISSILE,2,29.2916,12.9434,5.9151,1803.8,,,det_count=10
20260312_170131,24.791,37.187,RADAR_DETECT,MISSILE,2,29.2217,12.9261,5.9052,1803.9,,,det_count=11
20260312_170131,25.644,38.466,KILL,INTERCEPTOR,3,26.1822,11.752,5.3381,4000.0,MISSILE,2,
20260312_170131,25.644,38.466,INTERCEPTOR_MISS,INTERCEPTOR,4,10.0881,4.4784,2.0556,4000.0,MISSILE,2,
